Date,Product Category,Region,Sales Amount,Units Sold,Customer Satisfaction,Profit Margin (%)
2024-01-01,Electronics,North,4799,13,2,7.84
2024-01-02,Groceries,West,3699,37,3,10.82
2024-01-03,Furniture,East,3195,8,6,16.61
2024-01-04,Electronics,North,3207,16,3,10.78
2024-01-05,Apparel,West,4408,22,6,5.88
2024-01-06,Electronics,South,1156,37,9,13.8
2024-01-07,Furniture,North,3965,35,7,5.41
2024-01-08,Toys,West,1071,9,5,7.09
2024-01-09,Furniture,South,988,7,8,22.07
2024-01-10,Apparel,East,549,5,9,18.01
2024-01-11,Books,East,1015,21,1,22.98
2024-01-12,Apparel,West,1565,31,3,14.64
2024-01-13,Apparel,North,4913,12,7,12.42
2024-01-14,Electronics,West,2385,17,8,9.52
2024-01-15,Electronics,North,2360,22,3,19.47
2024-01-16,Apparel,North,4033,34,1,16.79
2024-01-17,Groceries,West,2729,31,6,18.67
2024-01-18,Books,South,1946,24,2,15.92
2024-01-19,Electronics,South,1752,34,9,17.34
2024-01-20,Electronics,West,3939,6,7,19.72
2024-01-21,Electronics,North,1801,45,8,20.62
2024-01-22,Electronics,South,4251,40,8,13.28
2024-01-23,Furniture,North,3680,14,7,23.91
2024-01-24,Books,South,1067,33,6,15.51
2024-01-25,Apparel,South,3325,29,8,12.82
2024-01-26,Electronics,East,656,14,7,21.44
2024-01-27,Toys,East,3840,9,5,22.32
2024-01-28,Furniture,North,1817,47,5,23.31
2024-01-29,Furniture,West,1518,34,8,20.73
2024-01-30,Apparel,East,3695,34,7,10.66
2024-01-31,Groceries,South,1271,24,9,14.21
2024-02-01,Electronics,East,2136,7,2,8.46
2024-02-02,Toys,North,953,26,9,19.67
2024-02-03,Apparel,West,961,30,7,9.94
2024-02-04,Electronics,North,954,34,3,18.67
2024-02-05,Furniture,South,2435,45,5,6.27
2024-02-06,Groceries,East,3565,21,9,17.1
2024-02-07,Furniture,West,586,21,9,10.41
2024-02-08,Electronics,North,760,7,1,10.09
2024-02-09,Furniture,North,678,5,9,6.4
